Size,Average Path Length,Theoretical Path Length
100,8.48,7.384960103786868
200,9.706,8.774960103786867
300,10.485,9.588057979789275
400,11.11,10.164960103786868
500,11.541,10.6124401556803
600,11.84,10.978057979789275
700,12.256,11.287183445446937
800,12.486,11.554960103786868
900,12.839,11.791155855791681
1000,13.078,12.0024401556803
1100,13.133,12.19357005369271
1200,13.402,12.368057979789274
1300,13.629,12.528571312002986
1400,13.54,12.677183445446937
1500,13.959,12.815538031682706
1600,14.003,12.944960103786867
1700,14.051,13.066533453124839
1800,14.122,13.181155855791681
1900,14.227,13.28957934747345
2000,14.357,13.3924401556803
2100,14.542,13.490281321449343
2200,14.757,13.583570053692709
2300,14.627,13.672711222706116
2400,14.793,13.758057979789275
2500,14.874,13.839920207573734
2600,14.946,13.918571312002985
2700,14.916,13.994253731794089
2800,15.153,14.067183445446936
2900,15.115,14.137553687014194
3000,15.222,14.205538031682709
3100,15.435,14.271292975224624
3200,15.447,14.334960103786871
3300,15.182,14.396667929695115
3400,15.551,14.45653345312484
3500,15.3,14.51466349734037
3600,15.555,14.571155855791682
3700,15.671,14.626100282011107
3800,15.528,14.679579347473451
3900,15.669,14.73166918800539
4000,15.617,14.7824401556803
4100,15.737,14.831957390206005
4200,15.841,14.880281321449344
4300,15.944,14.927468112822785
4400,15.8,14.973570053692713
4500,15.866,15.018635907685118
4600,16.055,15.062711222706115
4700,15.983,15.10583860761878
4800,16.116,15.148057979789273
4900,16.133,15.189406787107009
5000,16.085,15.229920207573736
5100,16.343,15.269631329127249
5200,16.301,15.308571312002988
5300,16.258,15.346769535629713
5400,16.298,15.384253731794091
5500,16.47,15.421050105586145
5600,16.181,15.457183445446939
5700,16.382,15.492677223475857
5800,16.4,15.527553687014192
5900,16.54,15.561833942399828
6000,16.732,15.595538031682706
6100,16.721,15.628685002999278
6200,16.682,15.661292975224624
6300,16.663,15.69337919745175
6400,16.593,15.724960103786865
6500,16.75,15.756051363896416
6600,16.732,15.786667929695119
6700,17.083,15.816824078523167
6800,16.698,15.84653345312484
6900,17.028,15.87580909870852
7000,16.967,15.90466349734037
7100,16.703,15.933108599898373
7200,16.785,15.961155855791683
7300,17.007,15.988816240630092
7400,16.955,16.016100282011106
7500,16.917,16.04301808357614
7600,17.208,16.06957934747345
7700,17.004,16.09579339535278
7800,17.123,16.121669188005388
7900,17.031,16.147215343753036
8000,17.252,16.1724401556803
8100,17.019,16.19735160779649
8200,17.06,16.221957390206
8300,17.171,16.24626491335909
8400,17.154,16.270281321449342
8500,17.156,16.29401350501827
8600,17.309,16.31746811282278
8700,17.361,16.3406515630166
8800,17.289,16.36357005369271
8900,17.534,16.38622957283016
9000,17.296,16.408635907685113
9100,17.358,16.430794653663053
9200,17.434,16.452711222706114
9300,17.361,16.47439085122703
9400,17.476,16.49583860761878
9500,17.451,16.517059399366882
9600,17.564,16.538057979789272
9700,17.508,16.558838954426975
9800,17.674,16.579406787107008
9900,17.676,16.599765805697523
10000,17.606,16.619920207573735
